,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
172,Cedar Rapids,Iowa,Midwest,Mid-Sized,276520.0,951,748.0,3.5,59063.0,88.1,91.84,19.7,42.0,,,2.0,41.9662,-91.6783
173,Bremerton,Washington,West,Mid-Sized,275611.0,1821,1479.0,4.3,67845.0,115.0,103.69,30.8,19.0,,,2.7,47.5436,-122.7121
174,Erie,Pennsylvania,Northeast,Mid-Sized,270876.0,1036,796.0,4.2,52747.0,91.8,92.19,19.9,31.0,,,2.9,42.1167,-80.0733
175,Santa Cruz,California,West,Mid-Sized,270861.0,3350,2602.0,4.5,85554.0,163.9,109.08,26.8,35.0,,,4.8,36.9789,-122.0346
176,Amarillo,Texas,South,Mid-Sized,268691.0,1359,847.0,2.6,56248.0,88.2,93.79,19.1,47.0,,,1.8,35.1984,-101.8316
177,Tuscaloosa,Alabama,South,Mid-Sized,268674.0,1421,871.0,2.2,43362.0,91.0,88.1,,37.0,,,0.8,33.2348,-87.5268
178,Norwich,Connecticut,Northeast,Mid-Sized,268555.0,1420,1251.0,3.2,63877.0,,100.03,24.8,37.0,,,1.8,41.5495,-72.0882
179,College Station,Texas,South,Mid-Sized,268248.0,1793,953.0,2.8,47803.0,92.3,95.12,18.1,31.0,,,1.4,30.5852,-96.2959
180,Laredo,Texas,South,Mid-Sized,267114.0,1283,841.0,3.7,40850.0,90.1,89.94,21.5,42.0,36.8,39.6,4.1,27.5625,-99.4874
181,Kalamazoo,Michigan,Midwest,Mid-Sized,261670.0,1320,913.0,3.9,58524.0,89.3,93.23,20.5,43.0,,,2.1,42.2749,-85.5882
182,Lynchburg,Virginia,South,Mid-Sized,261593.0,1260,873.0,2.9,47374.0,93.6,91.27,23.4,23.0,,,1.2,37.4003,-79.1909
183,Charleston,West Virginia,South,Mid-Sized,258859.0,819,814.0,3.3,51638.0,83.9,90.69,21.9,41.0,,,1.4,38.3484,-81.6322
184,Yakima,Washington,West,Mid-Sized,256728.0,1368,922.0,8.8,50872.0,97.5,97.72,18.7,29.0,,,2.3,46.5923,-120.5496
185,Fargo,North Dakota,Midwest,Small,249843.0,1209,794.0,1.9,62021.0,91.4,92.58,16.3,37.0,,,3.2,46.8651,-96.8292
186,Binghamton,New York,Northeast,Small,247138.0,1743,807.0,3.1,51295.0,93.3,94.62,19.2,,,,2.4,42.1014,-75.9093
187,Fort Smith,Arkansas,South,Small,244310.0,1112,648.0,2.7,45134.0,84.2,88.05,21.8,38.0,,,0.6,35.3495,-94.3695
188,Appleton,Wisconsin,Midwest,Small,243147.0,1135,797.0,1.9,58312.0,90.7,93.46,19.5,38.0,,,1.8,44.278,-88.3892
189,Macon,Georgia,South,Small,233802.0,1122,907.0,3.0,46875.0,87.2,87.4,23.5,38.0,,,1.5,32.8065,-83.6974
190,Tyler,Texas,South,Small,233479.0,1493,987.0,3.3,60284.0,92.8,94.77,23.4,42.0,,,1.1,32.3184,-95.3062
191,Topeka,Kansas,Midwest,Small,233152.0,982,734.0,2.7,53655.0,85.6,89.22,20.5,44.0,,,1.9,39.0346,-95.6955
192,Daphne,Alabama,South,Small,231767.0,1473,1021.0,2.1,54659.0,96.6,92.09,,40.0,,,0.3,30.6263,-87.8816
193,Bellingham,Washington,West,Small,226847.0,1775,1169.0,5.0,58137.0,111.6,104.72,22.5,32.0,,,3.5,48.7548,-122.469
194,Rochester,Minnesota,Midwest,Small,226329.0,1472,1069.0,2.5,63052.0,97.3,91.94,20.2,38.0,,,0.4,44.0154,-92.478
195,Burlington,Vermont,Northeast,Small,225562.0,1855,1326.0,,65083.0,112.8,102.64,22.5,42.0,,,2.6,44.4876,-73.2316
196,Lafayette,Indiana,Midwest,Small,223716.0,1056,975.0,2.0,46968.0,88.7,92.53,19.3,38.0,,,3.6,40.3991,-86.8593
197,Medford,Oregon,West,Small,223259.0,1822,1039.0,5.1,56842.0,107.5,102.12,18.0,34.0,,,2.6,42.3372,-122.854
198,Champaign,Illinois,Midwest,Small,222538.0,1010,927.0,3.2,55335.0,89.0,93.52,18.6,40.0,,,4.7,40.1142,-88.2737
199,Lake Charles,Louisiana,South,Small,222402.0,1083,833.0,3.0,51080.0,89.4,90.24,,44.0,,,0.9,30.201,-93.2111
200,Charlottesville,Virginia,South,Small,221524.0,1593,1265.0,2.4,77070.0,102.1,100.28,24.3,39.0,,,2.5,38.0375,-78.4855
201,Las Cruces,New Mexico,West,Small,219561.0,1358,821.0,3.7,45045.0,88.8,86.14,20.4,54.0,,,1.8,32.3265,-106.7893
202,Hilton Head Island,South Carolina,South,Small,215908.0,2883,,2.8,66256.0,109.4,99.08,24.6,,,,0.0,32.1896,-80.7499
203,Athens,Georgia,South,Small,215415.0,1878,946.0,2.4,48323.0,95.0,94.41,22.7,44.0,,,2.3,33.9508,-83.3689
204,Lake Havasu City,Arizona,West,Small,213267.0,1716,871.0,3.9,41331.0,98.4,89.59,21.8,18.0,,,0.4,34.5006,-114.3113
205,Chico,California,West,Small,211632.0,1620,1011.0,4.0,54694.0,110.5,102.52,20.5,43.0,,,2.9,39.7578,-121.8161
206,Columbia,Missouri,Midwest,Small,210864.0,1181,830.0,1.7,53583.0,89.8,89.52,17.3,40.0,,,2.5,38.9472,-92.3268
207,Springfield,Illinois,Midwest,Small,208640.0,944,786.0,3.6,57126.0,87.5,91.86,20.2,40.0,,,2.7,39.7709,-89.654
208,Johnson City,Tennessee,South,Small,207285.0,1174,788.0,3.0,48257.0,88.1,87.25,21.8,,,,1.1,36.3406,-82.3806
209,Houma,Louisiana,South,Small,207137.0,1208,819.0,3.2,49613.0,89.9,88.13,24.2,37.0,,,1.1,29.58,-90.7059
210,Monroe,Louisiana,South,Small,207104.0,1211,711.0,3.3,46859.0,86.5,86.41,20.0,38.0,,,1.3,32.5185,-92.0774
211,Jacksonville,North Carolina,South,Small,204576.0,1203,850.0,3.7,50869.0,91.7,89.7,20.1,,,,0.8,34.7289,-77.3941
212,Yuma,Arizona,West,Small,203881.0,1535,892.0,13.7,44299.0,94.5,89.54,20.0,46.0,,,2.0,32.5995,-114.5491
213,Gainesville,Georgia,South,Small,203136.0,1666,1128.0,2.1,53920.0,97.0,94.04,,36.0,,,0.8,34.2902,-83.8294
214,Florence,South Carolina,South,Small,199964.0,1304,747.0,3.0,50386.0,87.7,90.62,22.5,39.0,,,0.7,34.178,-79.7898
215,Bend,Oregon,West,Small,198253.0,2182,1274.0,4.8,67743.0,115.9,102.75,,13.0,,,2.0,44.0563,-121.3095
216,Racine,Wisconsin,Midwest,Small,197727.0,977,816.0,2.6,56884.0,90.9,92.18,24.7,40.0,,,2.9,42.7274,-87.8135
